-40	-7	50
40	-9	51
-19	34	41
21	30	43
-18	46	-14
17	47	-15
-34	32	34
37	32	33
-32	49	-11
32	52	-12
-49	12	18
49	14	20
-47	29	13
49	29	13
-37	30	-13
40	31	-13
-48	-9	13
52	-7	14
-6	4	60
8	-1	61
-9	14	-12
9	15	-12
-6	48	30
8	50	29
-6	53	-8
7	51	-8
-6	36	-19
7	35	-19
-36	6	2
38	5	1
-5	34	13
7	36	15
-6	-16	41
7	-10	39
-6	-44	24
6	-43	21
-26	-22	-11
28	-21	-11
-22	-17	-22
24	-16	-21
-24	-2	-18
26	0	-19
-8	-80	5
15	-74	8
-7	-81	26
13	-80	27
-16	-69	-6
15	-68	-5
-18	-85	27
23	-82	30
-33	-82	15
36	-81	18
-37	-79	-9
37	-83	-9
-32	-41	-21
33	-40	-21
-43	-24	48
40	-26	52
-24	-61	58
25	-60	61
-44	-47	46
45	-47	49
-57	-35	29
57	-33	33
-45	-62	35
45	-61	38
-8	-57	47
9	-57	43
-9	-26	69
6	-33	67
-12	10	8
14	11	8
-25	3	1
27	4	1
-19	-1	-1
20	-1	-1
-12	-19	7
12	-19	7
-43	-20	9
45	-18	9
-54	-22	6
57	-23	6
-41	14	-21
47	14	-18
-57	-35	-3
56	-38	-2
-37	14	-35
43	14	-33
-51	-29	-24
53	-32	-23
